transaction_day,total_amount_withdrawn
4-06-27,297700
4-06-28,382600
4-06-29,317400
4-06-30,344000
4-07-01,699500
4-07-02,229700
4-07-03,255000
4-07-04,425200
4-07-05,229300
4-07-06,268100
4-07-07,378700
4-07-08,292100
4-07-09,327100
4-07-10,364800
4-07-11,266800
4-07-12,333700
4-07-13,448200
4-07-14,337300
4-07-15,244800
4-07-16,401600
4-07-17,360600
4-07-18,351700
4-07-19,380500
4-07-20,326600
4-07-21,300400
4-07-22,326200
4-07-23,350400
4-07-24,386600
4-07-25,404600
4-07-26,316900
4-07-27,204100
4-07-28,332000
4-07-29,164900
4-07-30,288000
4-07-31,424100
4-08-01,528200
4-08-02,551300
4-08-03,99600
4-08-04,639200
4-08-05,594800
4-08-06,525100
4-08-07,443700
4-08-08,540500
4-08-09,266000
4-08-11,137000
4-08-12,281000
4-08-13,92200
4-08-14,399500
4-08-15,308200
4-08-16,369700
4-08-17,390400
4-08-18,189600
4-08-19,328100
4-08-20,352000
4-08-21,292200
4-08-22,398800
4-08-23,335100
4-08-24,314300
4-08-25,246400
4-08-26,224100
4-08-27,369100
4-08-28,555400
4-08-29,201000
4-08-30,272600
4-08-31,289700
4-09-01,557000
4-09-02,390700
4-09-03,415600
4-09-04,493500
4-09-05,437300
4-09-06,360100
4-09-07,334800
4-09-08,362800
4-09-09,481500
4-09-10,438400
4-09-11,439900
4-09-12,490600
4-09-13,505500
4-09-14,452400
4-09-15,336000
4-09-16,323100
4-09-17,381300
4-09-18,348600
4-09-19,336300
4-09-20,288100
4-09-21,396000
4-09-22,146000
4-09-23,514800
4-09-24,367800
4-09-25,275500
4-09-26,408800
4-09-27,409000
4-09-28,212400
4-09-29,125200
4-09-30,467000
4-10-01,671600
4-10-02,134200
4-10-03,200
4-10-04,190500
4-10-05,220800
4-10-07,291600
4-10-08,564600
4-10-09,501200
4-10-10,447900
4-10-11,288600
4-10-12,533200
4-10-13,314800
4-10-14,456400
4-10-15,259900
4-10-16,520500
4-10-17,494200
4-10-18,407300
4-10-19,529100
4-10-20,405300
4-10-21,507000
4-10-22,529000
4-10-23,367200
4-10-24,295100
4-10-25,283200
4-10-26,408100
4-10-27,454500
4-10-28,262200
4-10-29,277500
4-10-30,337800
4-10-31,527700
4-11-01,506900
4-11-02,660500
4-11-03,469700
4-11-04,1600
4-11-05,170400
4-11-06,319500
4-11-07,384400
4-11-08,442400
4-11-09,533300
4-11-10,395600
4-11-11,340200
4-11-12,275700
4-11-13,443700
4-11-14,340800
4-11-15,529500
4-11-16,368600
4-11-17,316800
4-11-18,367900
4-11-19,366200
4-11-20,310100
4-11-21,271300
4-11-22,356600
4-11-23,390100
4-11-24,332000
4-11-25,412300
4-11-26,293800
4-11-27,380300
4-11-28,671600
4-11-29,260500
4-11-30,392300
4-12-01,308400
4-12-02,495000
4-12-03,512800
4-12-04,137000
4-12-05,352800
4-12-06,370300
4-12-07,313900
4-12-08,407400
4-12-09,429100
4-12-10,515800
4-12-11,481200
4-12-12,646400
4-12-13,355100
4-12-14,346000
4-12-15,427400
4-12-16,254700
4-12-17,332200
4-12-18,424800
4-12-19,423400
4-12-20,380800
4-12-21,409800
4-12-22,177600
4-12-23,340100
4-12-24,433500
4-12-25,351100
4-12-26,239800
4-12-27,396900
4-12-28,315000
4-12-29,367500
4-12-30,531100
4-12-31,679200
5-04-01,549300
5-04-02,413300
5-04-04,246100
5-04-05,284500
5-04-06,350100
5-04-07,346000
5-04-08,451500
5-04-09,441400
5-04-10,298400
5-04-11,392500
5-04-12,337700
5-04-13,472800
5-04-14,362800
5-04-15,382500
5-04-16,395000
5-04-17,259100
5-04-18,296100
5-04-19,259900
5-04-20,377000
5-04-21,598000
5-04-22,490800
5-04-23,382000
5-04-24,471700
5-04-25,457000
5-04-26,123200
5-04-27,299800
5-04-28,303300
5-04-29,495000
5-04-30,465900
